№ таблицы                  Время     
Серия 1 Таблица 1:    24.4056
Серия 1 Таблица 2:    0.0882
Серия 1 Таблица 3:    0.0972
Серия 1 Таблица 4:    0.1056
Серия 1 Таблица 5:    0.075
Серия 1 Таблица 6:    0.0948
Серия 1 Таблица 7:    0.0906
Серия 1 Таблица 8:    0.1002
Серия 1 Таблица 9:    0.1044
Серия 1 Таблица 10:    0.111
Серия 1 Таблица 11:    0.1218
Серия 1 Таблица 12:    0.0816
Серия 2 Таблица 1:    0.09
Серия 2 Таблица 2:    0.0948
Серия 2 Таблица 3:    0.0798
Серия 2 Таблица 4:    0.1068
Серия 2 Таблица 5:    0.0726
Серия 2 Таблица 6:    0.0996
Серия 2 Таблица 7:    0.0906
Серия 2 Таблица 8:    0.0966
Серия 2 Таблица 9:    0.0894
Серия 2 Таблица 10:    0.0882
Серия 2 Таблица 11:    0.0894
Серия 2 Таблица 12:    0.0906
Серия 3 Таблица 1:    0.5028
Серия 3 Таблица 2:    0.0924
Серия 3 Таблица 3:    0.105
Серия 3 Таблица 4:    0.09
Серия 3 Таблица 5:    0.1056
Серия 3 Таблица 6:    0.0918
Серия 3 Таблица 7:    0.0906
Серия 3 Таблица 8:    0.1716
Серия 3 Таблица 9:    0.0912
Серия 3 Таблица 10:    0.084
Серия 3 Таблица 11:    0.1746
Серия 3 Таблица 12:    0.0798
Серия 4 Таблица 1:    0.1176
Серия 4 Таблица 2:    0.1026
Серия 4 Таблица 3:    0.1068
Серия 4 Таблица 4:    0.138
Серия 4 Таблица 5:    0.0582
Серия 4 Таблица 6:    0.0822
Серия 4 Таблица 7:    0.0858
Серия 4 Таблица 8:    0.0744
Серия 4 Таблица 9:    0.0864
Серия 4 Таблица 10:    0.0702
Серия 4 Таблица 11:    0.0744
Серия 4 Таблица 12:    0.126
Серия 5 Таблица 1:    0.0798
Серия 5 Таблица 2:    0.105
Серия 5 Таблица 3:    0.336
Серия 5 Таблица 4:    0.096
Серия 5 Таблица 5:    0.0948
Серия 5 Таблица 6:    0.0978
Серия 5 Таблица 7:    0.1002
Серия 5 Таблица 8:    0.1218
Серия 5 Таблица 9:    0.0876
Серия 5 Таблица 10:    0.0942
Серия 5 Таблица 11:    0.1038
Серия 5 Таблица 12:    0.0708
