№ таблицы                  Время     
Серия 1 Таблица 1:    0.2358
Серия 1 Таблица 2:    0.0996
Серия 1 Таблица 3:    0.0936
Серия 1 Таблица 4:    0.1026
Серия 1 Таблица 5:    0.0882
Серия 1 Таблица 6:    0.0912
Серия 1 Таблица 7:    0.0948
Серия 1 Таблица 8:    0.0918
Серия 1 Таблица 9:    0.102
Серия 1 Таблица 10:    0.1506
Серия 1 Таблица 11:    0.0876
Серия 1 Таблица 12:    0.0858
Серия 2 Таблица 1:    0.09
Серия 2 Таблица 2:    0.1026
Серия 2 Таблица 3:    0.0834
Серия 2 Таблица 4:    0.1032
Серия 2 Таблица 5:    0.0966
Серия 2 Таблица 6:    0.09
Серия 2 Таблица 7:    0.099
Серия 2 Таблица 8:    0.0882
Серия 2 Таблица 9:    0.1062
Серия 2 Таблица 10:    0.0936
Серия 2 Таблица 11:    0.0996
Серия 2 Таблица 12:    0.1128
Серия 3 Таблица 1:    0.6696
Серия 3 Таблица 2:    0.0996
Серия 3 Таблица 3:    0.0888
Серия 3 Таблица 4:    0.0924
Серия 3 Таблица 5:    0.099
Серия 3 Таблица 6:    0.0966
Серия 3 Таблица 7:    0.0996
Серия 3 Таблица 8:    0.1218
Серия 3 Таблица 9:    0.09
Серия 3 Таблица 10:    0.1884
Серия 3 Таблица 11:    0.0816
Серия 3 Таблица 12:    0.1644
Серия 4 Таблица 1:    0.1032
Серия 4 Таблица 2:    0.0966
Серия 4 Таблица 3:    0.0936
Серия 4 Таблица 4:    0.093
Серия 4 Таблица 5:    0.1152
Серия 4 Таблица 6:    0.0966
Серия 4 Таблица 7:    0.1032
Серия 4 Таблица 8:    0.1038
Серия 4 Таблица 9:    0.1062
Серия 4 Таблица 10:    0.1032
Серия 4 Таблица 11:    0.1092
Серия 4 Таблица 12:    0.0936
Серия 5 Таблица 1:    0.093
Серия 5 Таблица 2:    0.0948
Серия 5 Таблица 3:    0.1074
Серия 5 Таблица 4:    0.0876
Серия 5 Таблица 5:    0.1032
Серия 5 Таблица 6:    0.1128
Серия 5 Таблица 7:    0.093
Серия 5 Таблица 8:    0.1224
Серия 5 Таблица 9:    0.2076
Серия 5 Таблица 10:    0.0918
Серия 5 Таблица 11:    0.1128
Серия 5 Таблица 12:    0.0978
